numer log,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,
10,0,1.444590,0.402264,1,1.709108,0.427724,2,1.986866,0.996660,3,1.445206,0.793736,4,1.747861,0.417991,5,1.507598,0.650231,6,1.994792,1.010436,7,1.261467,0.670179,8,1.689386,0.638366,9,1.287615,0.788623,10,1.997770,1.019677,11,1.591649,0.308556,12,1.166293,0.164833,13,2.000348,0.996540,14,1.757454,0.108506,15,1.393749,0.891539,16,1.403421,0.611454,17,1.996601,1.000000,18,1.628603,0.578277,19,1.512849,0.435160,20,2.028392,1.116540,21,1.965806,1.000000,22,1.624544,0.460127,23,1.885882,0.502049,24,1.602758,0.454509,25,1.449732,0.286935,26,1.685245,0.722043,27,1.496690,0.179182,28,1.801095,0.318096,29,1.999639,1.000272,30,1.991895,0.998783,31,1.377696,0.578176,32,1.369526,0.635277,33,2.003133,1.059611,34,1.550886,0.591050,35,1.473026,0.387462,36,2.007622,1.000000,37,1.481587,0.678715,38,1.969023,0.999922,39,1.406068,0.503547,40,1.723199,0.418076,41,2.012093,1.000000,42,1.265344,0.188757,43,2.008665,0.977897,44,7.431879,7.771389,45,1.384370,0.821567,46,1.457064,0.328750,47,1.340938,0.868658,48,1.750648,0.297511,49,1.860259,0.868155,50,1.600788,0.874163,51,1.746737,0.881184,52,1.752286,0.733841,53,1.641057,0.731959,54,1.992827,1.001402,55,1.527077,1.029830,56,2.010905,0.998063,57,1.518029,0.631296,58,2.071138,0.765587,59,1.994568,1.000000,60,1.747828,0.392536,61,1.642581,0.557347,62,1.573991,0.636882,63,1.523893,0.814768,64,0.998630,0.207484,65,1.634265,0.624422,66,8.045807,0.500158,67,1.767772,0.658276,68,1.972992,1.000000,69,2.003480,1.001581,70,1.485958,0.440393,71,1.678738,0.566856,72,1.419290,0.492819,73,1.978660,0.998489,74,1.678430,0.492381,75,1.662641,0.332771,76,1.694741,0.536370,77,2.014769,0.998916,78,1.541152,0.610341,79,1.988005,1.002070,80,1.469447,0.486732,81,1.626126,0.398536,82,1.736062,0.476329,83,1.993244,1.000000,84,1.496585,0.892117,85,1.972849,1.000000,86,1.673473,0.679186,87,1.624208,0.718068,88,2.004213,0.999984,89,1.398257,0.628647,90,1.720672,0.246426,91,1.305058,0.657669,92,1.836065,0.476834,93,1.846474,0.902730,94,1.414189,0.700750,95,1.745848,0.338803,96,2.132108,0.682795,97,1.326052,0.455167,98,1.486348,0.517730,99,1.586985,0.770715,
11,0,1.378435,0.684570,1,1.423011,0.389996,2,2.006283,1.000388,3,1.229323,0.828478,4,1.211872,0.162247,5,1.516034,0.653674,6,2.008978,0.992116,7,1.568534,0.488979,8,1.352024,0.562483,9,1.261323,0.332004,10,1.978598,0.990059,11,1.459288,0.570479,12,1.671064,0.926630,13,2.000449,1.002532,14,1.891147,0.722040,15,1.782108,0.676046,16,1.286364,0.792668,17,2.000094,1.000000,18,1.346741,0.907454,19,1.652719,0.302875,20,1.929279,0.954139,21,2.037313,1.000000,22,1.259684,0.523991,23,1.387480,0.355275,24,1.321045,0.606701,25,1.605954,0.796405,26,1.872283,0.527443,27,1.382896,0.578657,28,1.331238,0.400318,29,2.000101,1.001621,30,2.003891,0.999853,31,1.769645,0.837041,32,1.400253,0.695785,33,2.001576,0.988705,34,1.556352,0.376486,35,1.863742,0.678483,36,2.000118,1.000000,37,1.657333,0.710114,38,2.003074,1.000058,39,1.686268,0.141821,40,1.833781,0.459774,41,1.989085,1.000000,42,1.366906,0.587637,43,2.003761,1.001744,44,9.429177,9.222755,45,1.716494,0.786739,46,1.542023,0.782991,47,1.571143,0.382425,48,1.417151,0.517429,49,1.544388,0.539827,50,1.818189,0.760142,51,1.410769,0.398529,52,1.556916,0.452095,53,1.642915,0.202950,54,2.000486,1.000998,55,1.279421,0.847516,56,1.996209,0.998491,57,1.540346,0.312244,58,1.493976,0.499613,59,2.003476,1.000000,60,1.286180,0.736470,61,1.675179,0.699254,62,1.757908,0.474822,63,1.455408,0.510344,64,1.831640,0.893910,65,1.615504,0.607891,66,3.753794,0.423837,67,1.352973,0.666087,68,1.988280,1.000000,69,2.011429,0.992268,70,1.598443,0.626504,71,1.962502,0.467492,72,1.540077,0.620678,73,2.005298,1.003530,74,1.344276,0.713967,75,1.529846,0.864712,76,1.610330,0.547175,77,1.996638,1.000345,78,1.339470,0.733190,79,2.002383,1.000248,80,0.981527,0.606203,81,1.526062,0.315470,82,1.252487,1.005914,83,2.003466,1.000000,84,1.746458,0.201623,85,1.990013,1.000000,86,1.064096,0.591434,87,1.525096,0.084988,88,1.995168,0.996312,89,1.676477,0.228144,90,1.419040,0.849619,91,1.642914,0.662879,92,1.457644,0.449062,93,1.390758,0.556403,94,1.294650,0.244813,95,1.619339,0.808931,96,1.751867,0.646864,97,1.979633,0.540304,98,1.371934,0.416032,99,1.437511,0.374018,
12,0,2.026875,0.587783,1,1.701685,0.354245,2,2.002992,1.000231,3,1.718221,0.644015,4,1.691444,0.475077,5,1.557467,0.390983,6,1.994027,0.999081,7,1.752424,0.503316,8,1.218952,0.212290,9,1.571724,0.748842,10,2.002079,1.003065,11,1.256883,0.550465,12,1.489483,0.792370,13,1.999469,1.000510,14,1.384427,0.225787,15,1.469345,0.669973,16,1.754477,0.907952,17,2.001696,1.000000,18,1.396347,0.574741,19,1.463276,0.273504,20,2.004237,0.981778,21,1.992720,1.000000,22,1.541189,0.316758,23,1.454989,0.521775,24,1.440526,0.648697,25,1.273085,0.445657,26,1.094764,0.096118,27,1.531866,0.475880,28,1.458571,0.892455,29,2.000127,0.999772,30,2.002437,1.000324,31,1.612380,0.500566,32,1.431080,0.646590,33,1.998217,0.988136,34,1.812179,0.520863,35,1.505873,0.263892,36,1.994033,1.000000,37,1.409750,0.697234,38,2.004897,0.999995,39,1.356826,0.334026,40,1.602184,1.028709,41,2.000545,1.000000,42,1.980930,0.938710,43,1.986599,1.003948,44,9.795584,4.103399,45,1.613951,0.432768,46,1.558904,0.612434,47,1.626253,0.221261,48,1.282841,0.697656,49,1.485851,0.704535,50,1.353610,0.447080,51,1.499043,0.328887,52,1.770709,0.395350,53,1.714170,0.540098,54,2.002776,1.000075,55,1.708497,0.731953,56,1.999479,1.000747,57,1.503339,0.746671,58,1.140520,0.884829,59,2.000333,1.000000,60,1.609591,0.304186,61,1.557154,0.480647,62,1.031445,0.659813,63,1.374888,0.479186,64,1.334581,0.881076,65,1.649814,0.591045,66,4.740217,0.566251,67,1.954622,0.469352,68,2.005699,1.000000,69,1.997311,1.002631,70,1.290256,0.341916,71,1.513324,0.313711,72,1.594732,0.521855,73,2.005711,1.000273,74,1.400576,0.520575,75,1.733575,0.289672,76,1.530996,0.471025,77,1.997927,1.000375,78,1.456720,0.523881,79,2.003828,0.999787,80,1.582238,0.547137,81,1.195168,0.779297,82,1.435651,0.346997,83,1.998815,1.000000,84,1.447067,0.292385,85,2.006046,1.000000,86,1.915628,0.300195,87,1.434700,0.479809,88,1.999462,1.000288,89,1.404808,0.374010,90,1.611223,0.480251,91,1.323406,0.735655,92,1.366193,0.753621,93,1.397744,0.587437,94,1.325735,0.326440,95,1.383301,0.697505,96,1.358994,0.411530,97,1.716020,0.112723,98,1.502876,0.567707,99,1.302188,0.584183,
13,0,1.629449,0.688100,1,1.523143,0.455784,2,1.998206,0.999637,3,1.779655,0.365289,4,1.773350,0.582552,5,1.550031,0.409709,6,2.000658,1.001473,7,1.500739,0.606692,8,1.555910,0.434158,9,1.548134,0.769708,10,2.002157,0.999842,11,1.776570,0.280404,12,1.751148,0.392315,13,1.999862,0.999387,14,1.909174,0.887260,15,1.474288,0.533825,16,1.284095,0.304962,17,1.999260,1.000000,18,1.832455,0.602259,19,1.115778,0.453352,20,2.009312,1.004535,21,1.991901,1.000000,22,1.475540,0.513253,23,1.738302,0.656218,24,1.308156,0.431856,25,1.479980,0.728644,26,1.699844,0.191951,27,1.807172,0.960683,28,1.255561,0.497571,29,1.999973,0.999521,30,1.998514,0.999937,31,1.092532,0.448905,32,1.925512,0.834117,33,1.999300,1.006205,34,1.620488,0.427071,35,1.133260,0.174771,36,2.000381,1.000000,37,1.326473,0.255568,38,1.995171,0.999990,39,1.065086,0.792329,40,1.554142,0.795776,41,2.001976,1.000000,42,1.517674,0.286778,43,1.998321,0.997244,44,6.501498,7.305351,45,1.936615,0.865396,46,1.554203,0.605917,47,1.261557,0.661432,48,1.822862,0.239520,49,1.562950,0.426314,50,1.497803,0.461351,51,1.268690,0.639890,52,1.413076,0.211248,53,1.397103,0.564544,54,1.998734,0.999897,55,1.551690,0.614856,56,2.002771,1.000714,57,1.378986,0.417519,58,1.334178,0.466624,59,1.997964,1.000000,60,1.642235,0.434806,61,1.389510,0.120198,62,1.092504,0.406405,63,1.163057,0.691796,64,1.450729,0.553930,65,1.240695,0.796732,66,8.276189,0.454653,67,1.763187,0.638154,68,2.000163,1.000000,69,1.997588,0.999842,70,1.412346,0.555888,71,1.294165,0.859676,72,1.269604,0.486159,73,1.997746,0.999109,74,1.732916,0.593077,75,1.639917,0.598511,76,1.359661,0.699944,77,2.001186,0.999952,78,1.587655,0.527378,79,1.999577,0.999983,80,1.848774,0.462156,81,1.469125,0.612653,82,1.475297,0.149354,83,1.999577,1.000000,84,1.254654,0.558046,85,1.999948,1.000000,86,1.481389,0.077567,87,1.551556,0.588736,88,2.001051,1.000556,89,1.418224,0.600227,90,1.570696,0.449335,91,1.616813,0.454471,92,1.613690,0.829314,93,1.989829,0.912950,94,1.542575,0.378551,95,1.473169,0.778072,96,1.565038,0.675307,97,1.371333,0.712267,98,1.577846,0.415802,99,1.534123,0.739721,
14,0,1.296189,0.490274,1,1.208754,0.031590,2,1.999669,1.000166,3,1.719945,0.735471,4,1.460931,0.257442,5,1.415698,0.850279,6,2.002207,1.000184,7,1.635977,0.383819,8,1.832619,0.861616,9,1.391754,0.477655,10,1.996825,0.997459,11,1.293200,0.507225,12,1.617826,0.236397,13,2.000106,1.000248,14,1.488588,0.617587,15,1.555728,0.486868,16,1.532013,0.707875,17,1.999752,1.000000,18,1.590646,0.423072,19,1.080869,0.425595,20,1.998934,1.003660,21,2.004101,1.000000,22,1.646127,0.556287,23,1.135381,0.218853,24,1.624191,0.266456,25,1.534354,0.629450,26,1.572625,0.107481,27,1.299319,0.608341,28,1.865845,0.733233,29,1.999977,1.000028,30,1.998783,0.999897,31,2.058513,0.504129,32,1.355905,0.442880,33,2.000349,1.001091,34,1.549873,0.728385,35,1.312552,0.686202,36,2.000978,1.000000,37,1.841169,0.707623,38,2.000874,1.000008,39,1.489049,0.474663,40,1.601041,0.533045,41,1.999277,1.000000,42,1.042613,0.180894,43,2.003881,0.998640,44,4.346946,6.307062,45,1.807154,0.408306,46,1.707061,0.303495,47,1.468505,0.476340,48,1.688853,0.389640,49,1.742126,0.671711,50,1.593715,0.483570,51,1.782906,0.540024,52,1.485017,0.784857,53,1.818037,0.489444,54,1.999463,1.000046,55,1.484441,0.555111,56,2.000042,0.999778,57,1.057084,0.430340,58,1.899689,0.708139,59,2.000286,1.000000,60,1.526983,0.689232,61,1.517260,0.540562,62,1.828633,0.719661,63,1.339531,0.371248,64,1.477808,0.371386,65,1.283293,0.764786,66,7.001344,0.191699,67,1.394028,0.776638,68,1.998260,1.000000,69,2.001263,0.998532,70,1.597082,0.423705,71,1.611222,0.294127,72,1.435186,0.412730,73,1.996893,1.000525,74,1.471073,0.957658,75,1.345335,0.453819,76,1.607424,0.756216,77,1.999677,0.999965,78,1.451996,0.405444,79,1.999656,1.000042,80,1.429267,0.603648,81,1.898336,0.422682,82,1.514863,0.431501,83,2.000544,1.000000,84,1.682080,0.477333,85,1.998745,1.000000,86,1.414916,0.664068,87,2.004718,0.293062,88,1.999578,0.999923,89,1.477465,0.629174,90,1.737584,0.693903,91,1.771716,0.290170,92,1.844208,0.069350,93,1.382256,0.636739,94,1.540587,0.894303,95,1.429637,0.471685,96,1.868477,0.504048,97,1.427394,0.486234,98,1.551320,0.361250,99,1.710524,0.412885,
15,0,1.503785,0.367186,1,1.211710,1.026181,2,2.000303,1.000030,3,1.531330,0.538943,4,1.292689,0.067542,5,1.488477,0.349368,6,1.999773,0.999384,7,1.569405,0.524472,8,1.604424,0.290954,9,1.088586,0.558437,10,2.000777,1.001873,11,1.561804,0.468520,12,1.291790,0.814202,13,1.999997,1.000312,14,1.291071,0.377379,15,1.501716,0.811179,16,1.694278,0.744429,17,2.000269,1.000000,18,1.182178,0.724974,19,1.769830,0.617304,20,1.997283,0.998169,21,2.003807,1.000000,22,1.336491,0.622410,23,1.347153,0.736807,24,1.506311,0.727375,25,1.376978,0.873979,26,1.138999,0.529659,27,1.507839,0.357191,28,1.585182,0.737464,29,2.000018,1.000184,30,2.000823,1.000054,31,1.457077,0.681539,32,1.870806,0.704199,33,2.000083,0.998869,34,1.449449,0.329982,35,1.429541,0.801702,36,1.999487,1.000000,37,1.474174,0.321844,38,2.001100,1.000001,39,1.618688,0.304293,40,1.482152,0.582433,41,1.999843,1.000000,42,1.528619,0.620829,43,1.998034,0.999993,44,7.125112,7.572856,45,1.584086,0.363799,46,1.320241,0.661264,47,1.658099,0.548467,48,1.045853,0.410580,49,1.176811,0.657063,50,1.547270,0.708195,51,1.623586,0.163397,52,1.540383,0.335779,53,1.374650,0.497357,54,2.000288,0.999997,55,1.609850,0.293947,56,1.999362,0.999871,57,1.625811,0.636965,58,1.345965,0.375370,59,2.000529,1.000000,60,1.614430,0.666714,61,1.313542,0.645035,62,1.322166,0.627866,63,1.668934,0.755048,64,1.474745,0.582740,65,1.672969,0.582166,66,8.033064,0.847677,67,1.568331,0.402623,68,2.000652,1.000000,69,2.000103,1.000671,70,1.674287,0.385467,71,1.526814,0.684289,72,1.326871,0.718951,73,2.000918,1.000015,74,1.573089,0.437192,75,1.763400,0.421058,76,1.624647,0.434200,77,1.999746,1.000031,78,1.529699,0.531277,79,2.000369,1.000003,80,1.389337,0.480700,81,1.146443,0.402054,82,1.535105,0.782965,83,1.999867,1.000000,84,1.512504,0.495149,85,2.000693,1.000000,86,1.324032,0.816366,87,1.405397,0.860598,88,1.999982,0.999846,89,1.494137,0.500215,90,1.393171,0.269846,91,1.579915,0.280915,92,1.556669,0.686733,93,1.215038,0.485650,94,1.152269,0.453501,95,1.412059,0.554049,96,1.524204,0.382336,97,1.371450,0.545166,98,1.534168,0.202010,99,1.536143,0.607336,
16,0,1.430521,0.563590,1,1.705119,0.634777,2,1.999965,0.999960,3,1.535942,0.632702,4,1.590803,0.565752,5,1.585992,0.541264,6,1.999626,1.000271,7,1.685402,0.630813,8,1.576041,0.227886,9,1.920543,0.454792,10,2.001566,0.999948,11,1.745129,0.880746,12,1.232964,0.857878,13,1.999962,0.999838,14,1.816541,0.663716,15,1.506499,0.706176,16,1.137853,0.389906,17,1.999995,1.000000,18,1.688278,0.755971,19,1.635502,0.618101,20,2.000954,1.000154,21,1.997685,1.000000,22,1.267801,0.487062,23,1.522030,0.464306,24,1.701232,0.650284,25,1.825904,0.857242,26,1.703832,0.868935,27,1.405497,0.982663,28,1.827991,0.391285,29,1.999998,0.999945,30,1.999731,0.999998,31,1.581169,0.812775,32,1.535793,0.942679,33,1.999957,1.000046,34,1.606305,0.498232,35,1.460136,0.392541,36,1.999956,1.000000,37,1.463228,0.439397,38,1.999538,0.999998,39,1.383969,0.705146,40,1.713296,0.375213,41,2.000220,1.000000,42,1.394162,0.527955,43,1.998339,1.000091,44,11.213585,3.819840,45,1.458499,0.474329,46,1.657538,0.506559,47,1.204412,0.724972,48,1.290704,0.514179,49,1.748841,0.586737,50,1.376320,0.775829,51,1.188261,0.482003,52,1.509973,0.694601,53,1.578578,0.567306,54,2.000081,0.999988,55,1.738934,0.318988,56,2.000199,1.000065,57,1.848961,0.421993,58,1.615950,0.371058,59,1.999638,1.000000,60,1.437081,0.989482,61,1.485475,0.243340,62,1.352254,0.554322,63,1.546743,0.818404,64,1.654461,0.904245,65,1.585336,0.458310,66,10.880451,0.221801,67,1.515966,0.240992,68,1.999940,1.000000,69,1.999787,1.000222,70,1.688504,0.542536,71,1.337714,0.709604,72,1.577572,0.836945,73,2.000502,0.999686,74,1.663002,0.333989,75,1.755674,0.230215,76,1.545230,0.706742,77,2.000063,0.999987,78,1.744290,0.492238,79,2.000006,0.999990,80,1.606937,0.502042,81,1.505259,0.616229,82,1.678389,0.636646,83,1.999952,1.000000,84,1.385980,0.314498,85,2.000061,1.000000,86,1.486546,0.687390,87,1.579197,0.637420,88,2.000092,1.000038,89,1.707428,0.582829,90,1.690246,0.938033,91,1.460099,0.462504,92,1.649362,0.646694,93,1.597356,0.647688,94,1.543715,0.453870,95,1.723453,0.384647,96,1.504952,0.756338,97,1.535882,0.259889,98,1.526021,0.796663,99,1.461710,0.456693,
17,0,1.933141,0.971429,1,1.515381,0.230748,2,1.999974,0.999987,3,1.630654,0.346805,4,1.727195,0.299737,5,1.434533,0.986975,6,2.000094,1.000070,7,1.483902,0.689474,8,1.404001,0.358801,9,1.640805,0.365452,10,1.999831,0.999364,11,1.353991,0.414479,12,1.888719,0.269241,13,2.000019,0.999978,14,1.228090,0.899739,15,1.883859,0.398161,16,1.225668,0.425314,17,1.999937,1.000000,18,1.393071,0.210591,19,1.576186,0.450550,20,2.000498,1.000829,21,2.000496,1.000000,22,1.351586,0.736998,23,1.525717,0.464785,24,1.407241,0.526086,25,1.484274,0.622182,26,1.516048,0.541837,27,1.381413,0.627331,28,1.845447,0.527190,29,1.999997,0.999954,30,1.999689,0.999978,31,1.663523,0.331680,32,1.481148,0.407271,33,1.999993,1.000267,34,1.541405,0.548648,35,1.521450,0.502261,36,2.000215,1.000000,37,1.853331,0.585847,38,1.999863,1.000001,39,1.720601,1.146749,40,1.515799,0.738047,41,1.999888,1.000000,42,1.664847,0.737464,43,2.000742,0.999911,44,6.145396,0.825147,45,1.542453,0.661122,46,1.303737,0.379317,47,1.737278,0.757418,48,1.575060,0.696944,49,1.625672,0.501902,50,1.772115,0.782543,51,1.345693,0.693104,52,1.466106,0.292948,53,1.591400,0.359203,54,1.999947,1.000010,55,1.277197,0.630186,56,2.000284,1.000014,57,1.577355,0.450767,58,1.521492,0.658752,59,2.000071,1.000000,60,1.231114,0.503513,61,1.501839,0.679208,62,1.874796,0.447604,63,1.506549,0.293108,64,1.463767,0.294378,65,1.360482,0.502708,66,4.854693,0.623592,67,1.520784,0.345394,68,1.999683,1.000000,69,1.999960,0.999589,70,1.667704,0.542969,71,1.509301,0.340683,72,1.688484,0.424419,73,1.999444,1.000110,74,1.609704,0.795003,75,1.665292,0.212344,76,1.495035,0.626305,77,2.000042,0.999991,78,1.734816,0.461114,79,1.999885,1.000006,80,1.631733,0.586726,81,1.548848,0.584474,82,1.515949,0.477016,83,2.000059,1.000000,84,1.596364,0.723246,85,1.999815,1.000000,86,1.815436,0.499575,87,1.494667,0.642455,88,1.999942,1.000021,89,1.652523,0.610596,90,1.387097,0.576556,91,1.586039,0.542302,92,1.285176,0.782804,93,1.751223,0.423350,94,1.691203,0.663696,95,1.885957,0.778119,96,1.499445,0.862009,97,1.422083,0.755281,98,1.283238,0.624704,99,1.440253,0.280907,
18,0,1.646469,0.373050,1,1.364930,0.251090,2,2.000048,1.000013,3,1.620005,0.766223,4,1.459627,0.142755,5,1.576120,0.612840,6,2.000121,0.999955,7,1.349367,0.326996,8,1.721448,0.848566,9,1.371013,0.757934,10,1.999541,1.000269,11,1.542446,0.542340,12,1.739311,0.479901,13,2.000017,1.000081,14,1.474476,0.672084,15,1.340026,0.608615,16,1.874827,0.461344,17,2.000029,1.000000,18,1.147826,0.326825,19,1.316480,0.433731,20,1.999853,0.999876,21,2.000314,1.000000,22,1.377925,0.669401,23,1.870057,0.446500,24,1.437815,0.827754,25,1.393382,0.626926,26,1.625224,0.528565,27,1.835071,0.478672,28,1.639005,0.422123,29,2.000001,1.000027,30,1.999964,1.000010,31,1.569304,0.405535,32,1.625809,0.204843,33,2.000008,0.999922,34,1.600008,0.862992,35,1.436827,0.561201,36,2.000053,1.000000,37,1.725142,0.432892,38,2.000144,1.000000,39,1.652130,0.311308,40,1.172203,0.399278,41,1.999987,1.000000,42,1.387994,0.480210,43,1.999837,0.999980,44,4.679971,1.509500,45,1.732101,0.861605,46,1.505454,0.441943,47,1.925736,0.616041,48,1.481714,0.404891,49,1.269413,0.535340,50,1.677905,0.332558,51,1.641991,0.375757,52,1.807489,0.187030,53,1.016788,0.377496,54,2.000022,1.000003,55,1.346263,0.496922,56,1.999876,0.999976,57,1.548426,0.609829,58,1.675692,0.649117,59,2.000086,1.000000,60,1.832607,0.412766,61,1.371860,0.770353,62,1.228518,0.596433,63,1.739752,0.537025,64,1.624955,0.684371,65,1.485855,0.557419,66,1.184500,0.296224,67,1.627379,0.688137,68,2.000144,1.000000,69,2.000074,1.000083,70,1.606134,0.501424,71,1.564901,0.458136,72,1.508465,0.485837,73,1.999534,1.000063,74,1.463126,0.665139,75,1.665992,0.353490,76,1.315368,0.565631,77,1.999973,1.000007,78,1.676812,0.701801,79,2.000000,1.000002,80,1.411972,0.427868,81,1.558843,0.484832,82,1.533735,0.676914,83,1.999996,1.000000,84,1.563482,0.691641,85,2.000064,1.000000,86,1.649197,0.647676,87,1.402952,0.222701,88,2.000015,0.999985,89,1.169670,0.479953,90,1.376413,0.322971,91,1.487722,0.418763,92,1.512948,0.381478,93,1.372084,0.510771,94,1.582071,0.455959,95,1.887428,0.848360,96,1.928870,0.110588,97,1.250977,0.762204,98,1.594493,0.235258,99,1.441582,0.551437,
19,0,1.116193,0.437108,1,1.582883,0.683230,2,2.000003,0.999996,3,1.401894,0.569986,4,1.509314,0.615573,5,1.502076,0.815254,6,1.999976,0.999990,7,1.444386,0.637999,8,1.464904,0.368786,9,1.484549,0.750527,10,2.000099,1.000109,11,1.386055,0.586489,12,1.488819,0.593951,13,1.999995,0.999971,14,1.685768,0.695269,15,1.208999,0.463442,16,1.864508,0.750462,17,2.000018,1.000000,18,1.071691,0.560331,19,1.602391,0.563329,20,1.999975,0.999691,21,1.999659,1.000000,22,2.001776,0.430011,23,1.751439,0.709608,24,1.652619,0.652872,25,1.616647,0.355219,26,1.494226,0.025808,27,1.632787,0.400149,28,1.576655,0.360109,29,2.000000,0.999990,30,2.000075,1.000005,31,1.558243,0.493579,32,1.339216,0.741440,33,1.999997,0.999983,34,1.538487,0.588465,35,1.763877,0.600181,36,1.999966,1.000000,37,1.668418,0.724119,38,1.999989,0.999999,39,1.765071,0.087893,40,1.278071,0.135784,41,2.000058,1.000000,42,1.112060,0.519001,43,1.999582,1.000034,44,1.935195,1.068037,45,1.376431,0.550682,46,1.520946,0.262292,47,1.750635,0.634697,48,1.411904,0.469650,49,1.462775,0.595614,50,1.526033,0.210344,51,1.632747,0.116721,52,1.686569,0.479522,53,1.061360,0.287566,54,2.000004,0.999997,55,1.794889,0.157089,56,1.999951,0.999994,57,1.442681,0.737203,58,1.680383,0.349773,59,1.999937,1.000000,60,1.825403,0.531638,61,1.706528,0.223747,62,0.976422,0.803932,63,1.313896,0.663065,64,1.385974,0.977135,65,1.404504,0.297489,66,1.142005,0.496474,67,1.313008,0.654611,68,2.000060,1.000000,69,2.000024,1.000129,70,1.569541,0.258633,71,1.633031,0.975528,72,1.332440,0.778490,73,2.000177,0.999936,74,1.577292,0.431093,75,1.527692,0.915455,76,1.437948,0.437730,77,1.999993,1.000002,78,1.629248,0.643855,79,2.000024,0.999999,80,1.479392,0.453974,81,1.417318,0.272082,82,1.555932,0.753015,83,1.999973,1.000000,84,1.758182,0.542985,85,2.000026,1.000000,86,1.528822,0.727150,87,1.215106,0.421795,88,2.000018,1.000003,89,1.668040,0.643254,90,1.606961,0.437555,91,1.472881,0.253396,92,2.108325,0.408694,93,1.442883,0.720662,94,1.690943,0.698511,95,1.082102,0.867820,96,1.812017,0.567524,97,1.814347,0.192110,98,1.572678,0.682028,99,1.696449,0.677058,
